id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output
37;Who is a police officer likely to work for?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:10;C
38;If you have leftover cake, where would you put it?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:10;B
39;A human wants to submerge himself in water, what should he use?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:10;A
40;Where is a doormat likely to be in front of?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:10;B
41;Bob the lizard lives in a warm place with lots of water.  Where does he probably live?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:10;B
42;August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:10;B
43;He needed more information to fix it, so he consulted the what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:10;E
44;Where can you put a picture frame when it's not hung vertically?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:11;E
45;James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:11;D
46;What is the result of applying for  job?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:11;E
47;What must someone do before they shop?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:11;A
48;Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:11;E
49;What is a place that usually does not have an elevator and that sometimes has a telephone book?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:11;E
50;Who is likely to be excited about a crab?;B;C;0;0.13;llama3.1:8b;2025-12-10 07:33:11;B
51;Where can a human find clothes that aren't pants?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:11;C
52;If I was getting drunk, and people couldn't understand me, what might I be having?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:12;B
53;When a person is beginning work, what are they building?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:12;D
54;A child wants to play, what would they likely want?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:12;C
55;Talking to the same person about the same thing over and over again is something someone can what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:12;D
56;The teacher doesn't tolerate noise during a test in their what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:12;E
57;The freeway had no traffic and few buildings, where is it?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:12;B
58;Where would you go if you wanted to have fun with a few people?;E;D;0;0.13;llama3.1:8b;2025-12-10 07:33:12;E
59;If there is a place that is hot and arid, what could it be?;C;B;0;0.13;llama3.1:8b;2025-12-10 07:33:13;C
60;What is likely to satisfy someone's curiosity?;B;A;0;0.13;llama3.1:8b;2025-12-10 07:33:13;B
61;If you are in a bar in a glove shaped state where are you?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:13;B
62;Where would a computer user be using their own computer?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:13;E
63;Crabs live in what sort of environment?;A;C;0;0.13;llama3.1:8b;2025-12-10 07:33:13;A
64;Where can you find a snake in tall grass?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:13;D
65;What is a place that has a bench nestled in trees?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:13;A
66;Where is a human likely to go as a result of being hungry?;C;A;0;0.13;llama3.1:8b;2025-12-10 07:33:13;C
67;He was beginning to regret taking the fight when he saw how what his opponent was?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:14;D
68;Where would you find a single shower curtain being used?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:14;A
69;Where is a good idea but not required to have a fire extinguisher?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:14;C
70;What continent has the most castles?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:14;D
71;If you have to read a book that is very dry and long you may become what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:14;E
72;Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:14;E
73;The kids didn't clean up after they had done what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:14;D
74;Despite the name a pawn can be quite versatile, all the parts are important in a what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:14;A
75;What would not be true about a basketball if it had a hole in it but it did not lose its general shape?;A;C;0;0.14;llama3.1:8b;2025-12-10 07:33:15;A
76;If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:15;B
77;Where does a wild bird usually live?;B;C;0;0.13;llama3.1:8b;2025-12-10 07:33:15;B
78;Where would you expect to find white mice?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:15;E
79;John felt that his actions were fate.   Harry said that he could have always made a different what?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:15;B
80;What could committing murder prevent someone from doing?;A;C;0;0.13;llama3.1:8b;2025-12-10 07:33:15;A
81;George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?;B;B;1;0.14;llama3.1:8b;2025-12-10 07:33:15;B
82;A crane uses many a steel cable when working a what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:16;D
83;What is the main purpose of farmers?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:16;E
84;Where can I put this penny to save for later?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:16;A
85;Where would you put uncooked crab meat?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:16;E
86;The man had a fear of illness, so he never visited friends who were a what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:16;A
87;Where would you put pans if you want to bring them with you?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:16;D
88;If you're remembering something, it's because of your what of it to begin with?;A;B;0;0.13;llama3.1:8b;2025-12-10 07:33:16;A
89;Which large land mass is home to the most monkeys?;A;E;0;0.13;llama3.1:8b;2025-12-10 07:33:16;A
90;Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:17;C
91;The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:17;C
92;You'll find a landing at the top of what?;D;C;0;0.13;llama3.1:8b;2025-12-10 07:33:17;D
93;Anybody could be hired in the kitchen, what was needed of them?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:17;D
94;Where can you find a number of wind instruments together in public?;A;E;0;0.13;llama3.1:8b;2025-12-10 07:33:17;A
95;A mountie got off at a subway stop.  What city might he be in?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:17;E
96;What do you want someone to do when you illustrate point?;C;E;0;0.13;llama3.1:8b;2025-12-10 07:33:17;C
97;Billy set aside a block of time for having fun after work. Why might he do this?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:17;B
98;The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:18;D
99;What would you be unable to do if you have too much greed?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:18;B
100;It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?;A;E;0;0.13;llama3.1:8b;2025-12-10 07:33:18;A
101;I did not need a servant.  I was not a what?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:18;B
102;How would you get from one side of a canal to another?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:18;D
103;When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:18;D
104;An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?;B;E;0;0.13;llama3.1:8b;2025-12-10 07:33:18;B
105;Obstructing justice is sometimes an excuse used for police brutality which causes what in people?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:18;D
106;While washing clothes they became what when caught on the sharp object?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:19;D
107;Seafood restaurants are used to draw tourists where?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:19;E
108;James's nice asked him about her grandfather. She was interested in learning about what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:19;A
109;James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:19;A
110;What would encourage someone to continue playing tennis?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:19;E
111;James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:19;C
112;What regions of a town would you have found a dime store?;A;C;0;0.13;llama3.1:8b;2025-12-10 07:33:19;A
113;Where might an unused chess set be stored?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:20;E
114;james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:20;D
115;A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:20;B
116;What could be playing a balailaika?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:20;B
117;Sailors drive many different types of boats, what type of boat involves their namesake.;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:20;E
118;Where could a person avoid the rain?;B;C;0;0.13;llama3.1:8b;2025-12-10 07:33:20;B
119;Why would a person like to have a large house?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:20;E
120;Where will a cheap book be found?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:20;C
121;John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:21;B
122;James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:21;C
123;Who do professors work with?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:21;D
124;Colorful anemone look somewhat like what object you find on window sills?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:21;D
125;From where do aliens arrive?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:21;A
126;The hikers stopped to have a drink, simply put they what?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:21;B
127;When you get up in the morning before you begin work you should do what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:21;D
128;The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:21;B
129;If a person is trying to keep something in their hand what should they do?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:22;E
130;Where could you find hundreds of thousands of home?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:22;D
131;Playing baseball is a lot like any other sport, there is always a risk of what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:22;D
132;If I want to watch a movie without leaving my home what might I use?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:22;C
133;The victim was to take stand today, they were going to do what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:22;A
134;What does a successful dog grooming session likely to make a owner feel?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:22;D
135;The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:22;D
136;The tourist entered Mammoth cave, what state were they in?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:22;B
137;What does someone typically feel when applying for a job?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:23;B
138;He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:23;E
139;What kind of feelings does buying presents for others create?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:23;E
140;What green area is a marmot likely to be found in?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:23;A
141;Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:23;D
142;What does a kindergarten teacher do before nap time?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:23;E
143;Sam was a stranger.  Even so, Mark treated him like what?;C;B;0;0.13;llama3.1:8b;2025-12-10 07:33:23;C
144;Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:24;A
145;James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?;A;D;0;0.13;llama3.1:8b;2025-12-10 07:33:24;A
146;With the card slot lit up he knew how to get started finding his balance with what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:24;E
147;To play sports professionally you must do what very often?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:24;C
148;Some people prefer releasing energy through work while others prefer to release it through what?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:24;C
149;What will a person going for a jog likely be wearing?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:24;C
150;The child pretended he was reading newspaper, he couldn't actually do it without what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:24;E
151;Jenny enjoyed helping people.  It brought her a great deal of what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:24;A
152;What might someone believe in if they are cleaning clothes?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:25;B
153;Where would you find a basement that can be accessed with an elevator?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:25;D
154;In order to learn to program from another person you can do what?;B;D;0;0.13;llama3.1:8b;2025-12-10 07:33:25;B
155;He was at the gym trying to build muscle, what is it called that he is trying to build muscle on?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:25;E
156;What part of plants is pretty?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:25;D
157;The man was going fishing instead of work, what is he seeking?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:25;B
158;What could you get an unsmooth pit from?;D;E;0;0.13;llama3.1:8b;2025-12-10 07:33:25;D
159;The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:25;A
160;I couldn't find anybody who recalled the event, what were they adroit at doing?;D;E;0;0.13;llama3.1:8b;2025-12-10 07:33:26;D
161;Where would you find a large dining room containing a fancy chandelier?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:26;A
162;The extremely large cargo plane could only land at a specialized runway, these were only located at a what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:26;D
163;The carpet was smelly and discouraged the league from playing there, where was this smelly carpet installed?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:26;C
164;How can someone be let into a brownstone?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:26;B
165;Where would someone purchase an upright piano?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:26;C
166;Where would you keep an ottoman near your front door?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:26;A
167;Diving into backyard pools can be very dangerous and can lead to serious head and what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:27;E
168;Where would one find a snake in a cage?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:27;D
169;Where are people likely to become impatient?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:27;A
170;When you fail to finish something, you failed at doing what to it;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:27;C
171;John didn't care about style.  He felt that form was less important than what?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:27;C
172;When you get together with friends to watch film, you might do plenty of this?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:27;D
173;A supermarket is uncommon in what type of collection of shops?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:27;A
174;Bill puts meat on the scale, where does Bill work?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:27;D
175;I'm having some food at my party, what will I need to serve it?;B;E;0;0.13;llama3.1:8b;2025-12-10 07:33:28;B
176;Before racers start to run they must do what at the starting line?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:28;E
177;What does an actor do when they are bored of their roles?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:28;B
178;What is a person called who doesn't have immortality?;A;E;0;0.13;llama3.1:8b;2025-12-10 07:33:28;A
179;Why would you be watching tv instead of doing something else?;E;C;0;0.13;llama3.1:8b;2025-12-10 07:33:28;E
180;If chewing food is difficult for you, what is a possible reason?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:28;B
181;He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:28;D
182;Where do you find the most amount of leafs?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:28;C
183;Where can children play with animals?;D;E;0;0.13;llama3.1:8b;2025-12-10 07:33:29;D
184;What kind of tale might feature a talking weasel?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:29;E
185;What kind of status is the bald eagle given?;C;C;1;0.12;llama3.1:8b;2025-12-10 07:33:29;C
186;Why do most people take a quick rest during the day?;E;C;0;0.13;llama3.1:8b;2025-12-10 07:33:29;E
187;What could suddenly stop someone when he or she is running?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:29;B
188;Where would you find a monkey in the wild?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:29;E
189;Where could a sloth live?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:29;A
190;A gentleman is carrying equipment for golf, what is he likely to have?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:29;A
191;If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?;A;A;1;0.14;llama3.1:8b;2025-12-10 07:33:30;A
192;The computer was difficult for he to understand at the store, so what did she sign up for to learn more?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:30;E
193;If you take the risk buying a used car, you still hope it can what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:30;E
194;Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:30;E
195;What is the primary purpose of cars?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:30;C
196;Alabama is full of different people, but they are all citizens of what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:30;A
197;They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:30;E
198;What do airplanes do as they are arriving at the gate?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:31;A
199;If a person with mental illness stops treatment what will likely happen?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:31;C
200;The gimmicky low brow TV show was about animals when they what?;D;E;0;0.13;llama3.1:8b;2025-12-10 07:33:31;D
201;A loud machine is irritating, but many are expected where?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:31;E
202;What part of a table would you put a ruler in?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:31;A
203;What happens if someone kisses too long?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:31;C
204;If I have a modern light source in my living room, what is it likely to be?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:31;C
205;The person saw the mess his children made, what was his following reaction?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:31;E
206;Who might wear dark glasses indoors?;D;A;0;0.13;llama3.1:8b;2025-12-10 07:33:32;D
207;Where would stones not be arranged in a path?;D;B;0;0.13;llama3.1:8b;2025-12-10 07:33:32;D
208;A bald eagle is likely to be found on what kind of work?;A;D;0;0.13;llama3.1:8b;2025-12-10 07:33:32;A
209;The hostess was good at her job, she always had a smile when she would what?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:32;C
210;What is likely to happen to someone who is learning?;E;C;0;0.13;llama3.1:8b;2025-12-10 07:33:32;E
211;The inspector was agreeing with the factory protocols, what was the status of the factory?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:32;A
212;After standing up I had to sit right back down, why would I feel like this?;E;C;0;0.13;llama3.1:8b;2025-12-10 07:33:32;E
213;Where do you go on a night out before going to the bar?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:32;C
214;The dad wanted to protect his house, where did he put his gun?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:33;D
215;What instrument can be played with an air of happiness?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:33;E
216;What to kids do for boredom on a ramp?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:33;E
217;What animal has quills all over it?;D;E;0;0.13;llama3.1:8b;2025-12-10 07:33:33;D
218;Why would you go to an office?;A;A;1;0.12;llama3.1:8b;2025-12-10 07:33:33;A
219;When is the worst time for having food?;A;B;0;0.13;llama3.1:8b;2025-12-10 07:33:33;A
220;If you spend all your time buying and not saving what is is likely to happen?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:33;E
221;Though a mouse might prefer your house, you might also see him where?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:33;C
222;What is performing a type of?;E;B;0;0.13;llama3.1:8b;2025-12-10 07:33:34;E
223;The car was going from Alabama to New York, what was its goal?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:34;A
224;What do they call the trash in Australia?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:34;E
225;Joan wants to cook a potato, where should she place it?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:34;A
226;Writers with a great what can amass a large fortune?;D;D;1;0.13;llama3.1:8b;2025-12-10 07:33:34;D
227;Where do all animals live?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:34;C
228;How are the conditions for someone who is living in a homeless shelter?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:34;A
229;You can do knitting to get the feeling of what?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:35;A
230;What might a very large table be?;A;B;0;0.13;llama3.1:8b;2025-12-10 07:33:35;A
231;John got his tax refund back.  He treated it like it was what?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:35;C
232;A person with an allergy might be doing what if they awake suddenly?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:35;E
233;Where is a ferret unlikely to be?;B;A;0;0.13;llama3.1:8b;2025-12-10 07:33:35;B
234;If you jump in any of the oceans you will get?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:35;B
235;Immediately after peeing, a person's bladder is what?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:35;B
236;The lady would eat and eat, and because of mental issues would then make herself what?;B;D;0;0.13;llama3.1:8b;2025-12-10 07:33:35;B
237;A car was hailed to chauffeur someone to the opera house, where was it heading?;A;A;1;0.13;llama3.1:8b;2025-12-10 07:33:36;A
238;What do you go to see for live entertainment?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:36;B
239;The teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?;C;C;1;0.13;llama3.1:8b;2025-12-10 07:33:36;C
240;A creek is a body of water found in what low land?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:36;B
241;If I have a pet bird, what does it likely live in?;E;E;1;0.13;llama3.1:8b;2025-12-10 07:33:36;E
242;Joe and Mac were playing basketball. They did it every day in their back yard.  Why were they playing basketball?;B;B;1;0.13;llama3.1:8b;2025-12-10 07:33:36;B
